,Name,Label,Price,Kms_driven,Fuel_type,Owner,Year,Company
28,Toyota Yaris,PLATINUM,1141999,3243,Petrol,2nd Owner,2021,Toyota
29,Tata Nexon,PLATINUM,971299,9616,Petrol,2nd Owner,2020,Tata
30,Maruti Suzuki Baleno,PLATINUM,640999,30249,Petrol,2nd Owner,2017,Maruti
31,Maruti Suzuki Baleno,PLATINUM,676199,60875,Petrol,2nd Owner,2019,Maruti
32,Maruti Suzuki Swift,PLATINUM,562399,25740,Petrol,2nd Owner,2017,Maruti
33,Ford Ecosport 1.0,PLATINUM,580899,38587,Petrol,2nd Owner,2014,Ford
34,Renault Triber,PLATINUM,770999,3108,Petrol,2nd Owner,2021,Renault
35,Honda Amaze,PLATINUM,531399,35353,Petrol,2nd Owner,2016,Honda
36,Hyundai EON Magna,PLATINUM,367299,34748,Petrol,2nd Owner,2017,Hyundai
37,Maruti Suzuki Alto,PLATINUM,412199,2359,Petrol,2nd Owner,2020,Maruti
38,Hyundai Creta S,PLATINUM,1460099,17814,Diesel,2nd Owner,2020,Hyundai
39,Maruti Suzuki Baleno,PLATINUM,618699,68934,Petrol,2nd Owner,2018,Maruti
40,Hyundai i20 Asta,GOLD,485000,72600,Petrol,2nd Owner,2014,Hyundai
41,BMW 3 Series,GOLD,890000,81000,Diesel,2nd Owner,2010,BMW
42,Nissan Micra XV,GOLD,245000,80000,Diesel,1st Owner,2012,Nissan
43,Toyota Glanza V,GOLD,945000,12000,Petrol,2nd Owner,2020,Toyota
44,Maruti Suzuki Swift,GOLD,590000,6000,Petrol,2nd Owner,2016,Maruti
45,Honda Brio S,GOLD,495000,56000,Petrol,2nd Owner,2017,Honda
46,Maruti Suzuki Wagon,GOLD,475000,56000,Petrol,2nd Owner,2017,Maruti
47,MG Motors Hector,GOLD,1200000,36000,Diesel,1st Owner,2020,MG
48,Maruti Suzuki Wagon,PLATINUM,490199,15840,Petrol,2nd Owner,2017,Maruti
49,Maruti Suzuki Baleno,PLATINUM,618699,68934,Petrol,2nd Owner,2018,Maruti
50,Maruti Suzuki Vitara,PLATINUM,920999,32482,Diesel,2nd Owner,2017,Maruti
51,Honda City,PLATINUM,554399,113779,Diesel,2nd Owner,2014,Honda
52,Maruti Suzuki Wagon,PLATINUM,408999,26150,Petrol,2nd Owner,2017,Maruti
53,Mahindra XUV 500,PLATINUM,1248299,34555,Diesel,2nd Owner,2018,Mahindra
54,Maruti Suzuki Baleno,PLATINUM,636099,30880,Petrol,1st Owner,2018,Maruti
55,Hyundai i20 Asta,PLATINUM,452699,70423,Petrol,1st Owner,2013,Hyundai
56,Hyundai Elite i20,PLATINUM,704399,30232,Diesel,2nd Owner,2018,Hyundai
57,Volkswagen Polo,PLATINUM,553599,50077,Petrol,2nd Owner,2016,Volkswagen
58,Ford Ecosport,PLATINUM,999599,18482,Diesel,2nd Owner,2018,Ford
59,Maruti Suzuki Baleno,PLATINUM,684699,10246,Petrol,2nd Owner,2018,Maruti
60,Maruti Suzuki Baleno,PLATINUM,620399,25021,Petrol,2nd Owner,2016,Maruti
61,Hyundai Elite i20,PLATINUM,549899,70646,Petrol,2nd Owner,2014,Hyundai
62,Maruti Suzuki Vitara,PLATINUM,812899,45490,Diesel,2nd Owner,2018,Maruti
63,Ford Ecosport,PLATINUM,656699,53306,Diesel,2nd Owner,2016,Ford
64,Hyundai Creta 1.6,GOLD,725000,58460,Diesel,1st Owner,2019,Hyundai
65,Hyundai Venue,GOLD,600000,29000,Diesel,1st Owner,2019,Hyundai
66,Volvo XC90 D5,GOLD,3700000,110000,Diesel,2nd Owner,2016,Volvo
67,Mahindra XUV 500,GOLD,735000,95000,Diesel,2nd Owner,2013,Mahindra
68,Toyota Fortuner 3.0,GOLD,1350000,170000,Diesel,2nd Owner,2012,Toyota
69,Honda Jazz VX,GOLD,365000,80000,Petrol,2nd Owner,2013,Honda
70,Hyundai i10 Asta,GOLD,280000,58000,Petrol,2nd Owner,2011,Hyundai
71,Tata Nexon XM,GOLD,840000,22000,Diesel,2nd Owner,2019,Tata
72,Hyundai Creta 1.6,PLATINUM,818599,69215,Petrol,1st Owner,2017,Hyundai
73,Hyundai Verna 1.6,PLATINUM,862399,33340,Petrol,1st Owner,2018,Hyundai
74,Renault Triber,PLATINUM,673599,9783,Petrol,2nd Owner,2019,Renault
75,Hyundai Santro Sportz,PLATINUM,528899,15110,Petrol,2nd Owner,2018,Hyundai
76,Maruti Suzuki S,PLATINUM,527999,3399,Petrol,2nd Owner,2021,Maruti
77,Mahindra XUV 500,PLATINUM,791699,89310,Diesel,1st Owner,2013,Mahindra
78,Maruti Suzuki Wagon,PLATINUM,392999,53148,Petrol,1st Owner,2015,Maruti
79,Honda City VX,PLATINUM,690199,42020,Petrol,1st Owner,2015,Honda
80,Maruti Suzuki Swift,PLATINUM,474699,74594,Diesel,2nd Owner,2013,Maruti
81,MG Motors Hector,PLATINUM,2019899,6110,Petrol,2nd Owner,2021,MG
82,Hyundai Grand i10,PLATINUM,562299,24346,Petrol,2nd Owner,2017,Hyundai
83,Jeep Compass,PLATINUM,1400999,65668,Diesel,1st Owner,2017,Jeep
84,Renault Kwid,PLATINUM,447599,48644,Petrol,2nd Owner,2018,Renault
85,Toyota Innova Crysta,PLATINUM,1814599,36877,Diesel,2nd Owner,2018,Toyota
86,Tata Nexon,PLATINUM,920399,79673,Diesel,2nd Owner,2018,Tata
87,Maruti Suzuki Swift,PLATINUM,447599,54352,Petrol,2nd Owner,2014,Maruti
88,Tata Zest XMS,GOLD,390000,64000,Diesel,2nd Owner,2016,Tata
89,Ford Freestyle TITANIUM,GOLD,650000,54000,Diesel,2nd Owner,2018,Ford
90,Maruti Suzuki Swift,GOLD,575000,40000,Petrol,2nd Owner,2017,Maruti
91,Mahindra Xylo,GOLD,525000,107000,Diesel,1st Owner,2015,Mahindra
92,Mahindra Xylo,GOLD,525000,107000,Diesel,2nd Owner,2015,Mahindra
93,BMW 5 Series,GOLD,1000000,38000,Diesel,2nd Owner,2011,BMW
94,Hyundai i20 Magna,GOLD,325000,86000,Petrol,2nd Owner,2010,Hyundai
95,Jeep Compass Limited,GOLD,3000000,10000,Diesel,2nd Owner,2021,Jeep
